latitude,longitude
2806.7183N,8242.7567W
2806.7182N,8242.7567W
2806.7182N,8242.7566W
2806.7181N,8242.7566W
2806.7182N,8242.7566W
2806.7181N,8242.7566W
2806.7181N,8242.7566W
2806.7181N,8242.7565W
2806.718N,8242.7564W
2806.718N,8242.7563W
2806.718N,8242.7563W
2806.7181N,8242.7562W
2806.718N,8242.7562W
2806.718N,8242.7561W
2806.7181N,8242.756W
2806.718N,8242.7559W
2806.718N,8242.7558W
2806.7181N,8242.7557W
2806.718N,8242.7555W
2806.718N,8242.7553W
2806.7179N,8242.7552W
2806.7179N,8242.755W
2806.7178N,8242.7549W
2806.7178N,8242.7548W
2806.7178N,8242.7547W
2806.7178N,8242.7546W
2806.7179N,8242.7544W
2806.7179N,8242.7543W
2806.7179N,8242.7542W
2806.718N,8242.7541W
2806.7181N,8242.754W
2806.7182N,8242.7539W
2806.7183N,8242.7537W
2806.7184N,8242.7536W
2806.7185N,8242.7535W
2806.7186N,8242.7532W
2806.7186N,8242.753W
2806.7186N,8242.7529W
2806.7187N,8242.7527W
2806.7188N,8242.7526W
